Year,SERIES,REF_AREA,SEX,URBANISATION,Value
2018,SP_LGL_LNDSEC,9,M,,68.5
2018,SP_LGL_LNDSEC,9,F,,80.7
2018,SP_LGL_LNDSEC,9,,U,71.4
2018,SP_LGL_LNDSEC,9,M,U,68.5
2018,SP_LGL_LNDSEC,9,F,U,76.1
2018,SP_LGL_LNDSEC,9,,R,73.7
2018,SP_LGL_LNDSEC,9,M,R,68.6
2018,SP_LGL_LNDSEC,9,F,R,84.7
2018,SP_LGL_LNDSEC,10,,,67.0
2018,SP_LGL_LNDSEC,10,M,,64.5
2018,SP_LGL_LNDSEC,10,F,,75.1
2018,SP_LGL_LNDSEC,10,,U,62.8
2018,SP_LGL_LNDSEC,10,M,U,60.3
2018,SP_LGL_LNDSEC,10,F,U,70.1
2018,SP_LGL_LNDSEC,10,,R,69.2
2018,SP_LGL_LNDSEC,10,M,R,66.6
2018,SP_LGL_LNDSEC,10,F,R,77.9
2018,SP_LGL_LNDSEC,11,,,60.3
2018,SP_LGL_LNDSEC,11,M,,61.1
2018,SP_LGL_LNDSEC,11,F,,57.7
2018,SP_LGL_LNDSEC,11,,U,55.2
2018,SP_LGL_LNDSEC,11,M,U,56.6
2018,SP_LGL_LNDSEC,11,F,U,49.7
2018,SP_LGL_LNDSEC,11,,R,61.7
2018,SP_LGL_LNDSEC,11,M,R,62.5
2018,SP_LGL_LNDSEC,11,F,R,59.6
2018,SP_LGL_LNDSEC,12,,,90.3
2018,SP_LGL_LNDSEC,12,M,,91.9
2018,SP_LGL_LNDSEC,12,F,,82.2
2018,SP_LGL_LNDSEC,12,,U,83.0
2018,SP_LGL_LNDSEC,12,M,U,84.4
2018,SP_LGL_LNDSEC,12,F,U,69.9
2018,SP_LGL_LNDSEC,12,,R,92.0
2018,SP_LGL_LNDSEC,12,M,R,93.9
2018,SP_LGL_LNDSEC,12,F,R,83.7
2018,SP_LGL_LNDSEC,13,,,97.7
2018,SP_LGL_LNDSEC,13,M,,98.0
2018,SP_LGL_LNDSEC,13,F,,96.0
2018,SP_LGL_LNDSEC,13,,U,94.5
